aliquot_barcode,participant_id,library_size,selected
TCGA-05-4244-01A-01R-1107-07,TCGA-05-4244,63602616,TRUE
TCGA-05-4249-01A-01R-1107-07,TCGA-05-4249,63798287,TRUE
TCGA-05-4250-01A-01R-1107-07,TCGA-05-4250,63024011,TRUE
TCGA-05-4382-01A-01R-1206-07,TCGA-05-4382,93661599,TRUE
TCGA-05-4384-01A-01R-1755-07,TCGA-05-4384,33032251,TRUE
TCGA-05-4389-01A-01R-1206-07,TCGA-05-4389,62143459,TRUE
TCGA-05-4396-01A-21R-1858-07,TCGA-05-4396,27381440,TRUE
TCGA-05-4397-01A-01R-1206-07,TCGA-05-4397,95294578,TRUE
TCGA-05-4398-01A-01R-1206-07,TCGA-05-4398,101235803,TRUE
TCGA-05-4402-01A-01R-1206-07,TCGA-05-4402,93295577,TRUE
TCGA-05-4403-01A-01R-1206-07,TCGA-05-4403,93775090,TRUE
TCGA-05-4405-01A-21R-1858-07,TCGA-05-4405,30481855,TRUE
TCGA-05-4410-01A-21R-1858-07,TCGA-05-4410,27574347,TRUE
TCGA-05-4415-01A-22R-1858-07,TCGA-05-4415,46092883,TRUE
TCGA-05-4417-01A-22R-1858-07,TCGA-05-4417,35443567,TRUE
TCGA-05-4418-01A-01R-1206-07,TCGA-05-4418,76213563,TRUE
TCGA-05-4420-01A-01R-1206-07,TCGA-05-4420,86378847,TRUE
TCGA-05-4422-01A-01R-1206-07,TCGA-05-4422,80662806,TRUE
TCGA-05-4424-01A-22R-1858-07,TCGA-05-4424,41635571,TRUE
TCGA-05-4425-01A-01R-1755-07,TCGA-05-4425,35836173,TRUE
TCGA-05-4426-01A-01R-1206-07,TCGA-05-4426,84232730,TRUE
TCGA-05-4430-01A-02R-1206-07,TCGA-05-4430,68718971,TRUE
TCGA-05-4432-01A-01R-1206-07,TCGA-05-4432,75547030,TRUE
TCGA-05-4434-01A-01R-1206-07,TCGA-05-4434,94449495,TRUE
TCGA-05-5420-01A-01R-1628-07,TCGA-05-5420,29853599,TRUE
TCGA-05-5423-01A-01R-1628-07,TCGA-05-5423,32408533,TRUE
TCGA-05-5425-01A-02R-1628-07,TCGA-05-5425,38273362,TRUE
TCGA-05-5428-01A-01R-1628-07,TCGA-05-5428,30471157,TRUE
TCGA-05-5429-01A-01R-1628-07,TCGA-05-5429,29369096,TRUE
TCGA-05-5715-01A-01R-1628-07,TCGA-05-5715,28413182,TRUE
TCGA-35-4122-01A-01R-1107-07,TCGA-35-4122,54362050,TRUE
TCGA-35-4123-01A-01R-1107-07,TCGA-35-4123,50701624,TRUE
TCGA-35-5375-01A-01R-1628-07,TCGA-35-5375,23216388,TRUE
TCGA-38-4625-01A-01R-1206-07,TCGA-38-4625,94099370,TRUE
TCGA-38-4626-01A-01R-1206-07,TCGA-38-4626,103673396,TRUE
TCGA-38-4627-01A-01R-1206-07,TCGA-38-4627,64670974,TRUE
TCGA-38-4628-01A-01R-1206-07,TCGA-38-4628,74931567,TRUE
TCGA-38-4629-01A-02R-1206-07,TCGA-38-4629,76757141,TRUE
TCGA-38-4630-01A-01R-1206-07,TCGA-38-4630,91730622,TRUE
TCGA-38-4631-01A-01R-1755-07,TCGA-38-4631,28990293,TRUE
TCGA-38-4632-01A-01R-1755-07,TCGA-38-4632,28328001,TRUE
TCGA-38-6178-01A-11R-1755-07,TCGA-38-6178,24643339,TRUE
TCGA-38-7271-01A-11R-2039-07,TCGA-38-7271,30028699,TRUE
TCGA-38-A44F-01A-11R-A24H-07,TCGA-38-A44F,39303564,TRUE
TCGA-44-2655-01A-01R-0946-07,TCGA-44-2655,86382334,TRUE
TCGA-44-2656-01A-02R-0946-07,TCGA-44-2656,81612504,TRUE
TCGA-44-2656-01A-02R-A278-07,TCGA-44-2656,51740802,FALSE
TCGA-44-2656-01B-06R-A277-07,TCGA-44-2656,21047767,FALSE
TCGA-44-2657-01A-01R-1107-07,TCGA-44-2657,36069891,TRUE
TCGA-44-2661-01A-01R-1107-07,TCGA-44-2661,53030788,TRUE
TCGA-44-2662-01A-01R-0946-07,TCGA-44-2662,67319156,TRUE
TCGA-44-2662-01A-01R-A278-07,TCGA-44-2662,43812864,FALSE
TCGA-44-2662-01B-02R-A277-07,TCGA-44-2662,18708551,FALSE
TCGA-44-2665-01A-01R-0946-07,TCGA-44-2665,53902881,TRUE
TCGA-44-2665-01A-01R-A278-07,TCGA-44-2665,43122325,FALSE
TCGA-44-2665-01B-06R-A277-07,TCGA-44-2665,8615501,FALSE
TCGA-44-2666-01A-01R-0946-07,TCGA-44-2666,60440340,TRUE
TCGA-44-2666-01A-01R-A278-07,TCGA-44-2666,39806967,FALSE
TCGA-44-2666-01B-02R-A277-07,TCGA-44-2666,24380740,FALSE
TCGA-44-2668-01A-01R-0946-07,TCGA-44-2668,79990528,TRUE
TCGA-44-2668-01A-01R-A278-07,TCGA-44-2668,30611841,FALSE
TCGA-44-2668-01B-02R-A277-07,TCGA-44-2668,27702890,FALSE
TCGA-44-3396-01A-01R-1206-07,TCGA-44-3396,97959719,TRUE
TCGA-44-3398-01A-01R-1107-07,TCGA-44-3398,60032308,TRUE
TCGA-44-3918-01A-01R-1107-07,TCGA-44-3918,61544489,TRUE
TCGA-44-3918-01A-01R-A278-07,TCGA-44-3918,41700711,FALSE
TCGA-44-3918-01B-02R-A277-07,TCGA-44-3918,22363313,FALSE
TCGA-44-3919-01A-02R-1107-07,TCGA-44-3919,67900869,TRUE
TCGA-44-4112-01A-01R-1107-07,TCGA-44-4112,54631123,TRUE
TCGA-44-4112-01A-01R-A278-07,TCGA-44-4112,32296353,FALSE
TCGA-44-4112-01B-06R-A277-07,TCGA-44-4112,24949171,FALSE
TCGA-44-5643-01A-01R-1628-07,TCGA-44-5643,35622505,TRUE
TCGA-44-5644-01A-21R-2039-07,TCGA-44-5644,31376189,TRUE
TCGA-44-5645-01A-01R-A278-07,TCGA-44-5645,44642161,TRUE
TCGA-44-5645-01A-01R-1628-07,TCGA-44-5645,35446033,FALSE
TCGA-44-5645-01B-04R-A277-07,TCGA-44-5645,27895741,FALSE
TCGA-44-6147-01A-11R-1755-07,TCGA-44-6147,40567069,TRUE
TCGA-44-6147-01A-11R-A278-07,TCGA-44-6147,36525659,FALSE
TCGA-44-6147-01B-06R-A277-07,TCGA-44-6147,21519130,FALSE
TCGA-44-6148-01A-11R-1755-07,TCGA-44-6148,39178206,TRUE
TCGA-44-6774-01A-21R-1858-07,TCGA-44-6774,25388728,TRUE
TCGA-44-6775-01A-11R-1858-07,TCGA-44-6775,40695296,TRUE
TCGA-44-6775-01A-11R-A278-07,TCGA-44-6775,34887997,FALSE
TCGA-44-6775-01C-02R-A277-07,TCGA-44-6775,20759776,FALSE
TCGA-44-6777-01A-11R-1858-07,TCGA-44-6777,45602151,TRUE
TCGA-44-6778-01A-11R-1858-07,TCGA-44-6778,33191983,TRUE
TCGA-44-6779-01A-11R-1858-07,TCGA-44-6779,25598731,TRUE
TCGA-44-7659-01A-11R-2066-07,TCGA-44-7659,29037929,TRUE
TCGA-44-7660-01A-11R-2066-07,TCGA-44-7660,54677382,TRUE
TCGA-44-7662-01A-11R-2066-07,TCGA-44-7662,73429389,TRUE
TCGA-44-7667-01A-31R-2066-07,TCGA-44-7667,59791688,TRUE
TCGA-44-7669-01A-21R-2066-07,TCGA-44-7669,64293707,TRUE
TCGA-44-7670-01A-11R-2066-07,TCGA-44-7670,64582716,TRUE
TCGA-44-7671-01A-11R-2066-07,TCGA-44-7671,70220747,TRUE
TCGA-44-8119-01A-11R-2241-07,TCGA-44-8119,90176346,TRUE
TCGA-44-8120-01A-11R-2241-07,TCGA-44-8120,69993994,TRUE
TCGA-44-A479-01A-31R-A24H-07,TCGA-44-A479,40284106,TRUE
TCGA-44-A47B-01A-11R-A24H-07,TCGA-44-A47B,48911043,TRUE
TCGA-44-A47G-01A-21R-A24H-07,TCGA-44-A47G,41196772,TRUE
TCGA-44-A4SS-01A-11R-A24X-07,TCGA-44-A4SS,38697317,TRUE
TCGA-44-A4SU-01A-11R-A24X-07,TCGA-44-A4SU,48903542,TRUE
TCGA-49-4486-01A-01R-1206-07,TCGA-49-4486,81750346,TRUE
TCGA-49-4487-01A-21R-1858-07,TCGA-49-4487,26993827,TRUE
TCGA-49-4488-01A-01R-1755-07,TCGA-49-4488,28414968,TRUE
TCGA-49-4490-01A-21R-1858-07,TCGA-49-4490,26041204,TRUE
TCGA-49-4494-01A-01R-1206-07,TCGA-49-4494,78194142,TRUE
