ensembl_gene_id,gene_name,gene_type,base_mean,raw_log2_fold_change,shrunken_log2_fold_change,statistic,p_value,adjusted_p_value,selected,direction
ENSG00000125787.11,GNRH2,protein_coding,15.258092975020624,3.3678075707122517,3.297349073594317,11.463097826419023,2.021524615529136e-30,6.17434263321064e-26,TRUE,Higher in G12C
ENSG00000130055.14,GDPD2,protein_coding,28.467167012528325,2.9515359334345095,2.848172068852484,10.322236414946516,5.590554531195491e-25,8.537615352315194e-21,TRUE,Higher in G12C
ENSG00000142619.4,PADI3,protein_coding,316.2728401394532,-5.453186731094917,-5.320024590351374,-9.546084881012872,1.3469038594340353e-21,1.3712828192897912e-17,TRUE,Lower in G12C
ENSG00000279128.1,AC078925.2,TEC,6.81288949985227,2.5974634031119073,2.5244322217565025,8.727801588509113,2.596706878107283e-18,1.9827804544507687e-14,TRUE,Higher in G12C
ENSG00000196358.11,NTNG2,protein_coding,285.2023974498074,2.2130553512148046,2.1460537490869744,8.460407769793562,2.6644420384384542e-17,1.6276010636005141e-13,TRUE,Higher in G12C
ENSG00000229190.1,AC069542.1,lncRNA,4.404113215045465,2.53037938885304,2.4282396866177054,8.277888480970223,1.253785593248609e-16,5.693626013292117e-13,TRUE,Higher in G12C
ENSG00000279993.1,AC078925.3,TEC,5.702030551721509,2.473584267371636,2.3904553915435622,8.273128057256303,1.3048941522785849e-16,5.693626013292117e-13,TRUE,Higher in G12C
ENSG00000107295.10,SH3GL2,protein_coding,43.10887742222026,-2.938212864057073,-2.8342761669678556,-7.80260225736767,6.064345337875972e-15,2.1927362045811283e-11,TRUE,Lower in G12C
ENSG00000266602.2,AP005262.1,lncRNA,34.88701558185302,-3.79969488255161,-3.651570988494003,-7.794600447666846,6.461259811161365e-15,2.1927362045811283e-11,TRUE,Lower in G12C
ENSG00000080644.16,CHRNA3,protein_coding,41.51164359231312,1.8339044819397605,1.7682086772106078,7.755344632214192,8.810388295999515e-15,2.690956897247132e-11,TRUE,Higher in G12C
