pathway,pathway_label,direction,size,enrichment_score,normalized_enrichment_score,p_value,adjusted_p_value
HALLMARK_E2F_TARGETS,E2F Targets,Lower in G12C,200,-0.5569838988314895,-2.377354197216624,2.0597854580659706e-18,1.0298927290329852e-16
HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNFα Signaling via NF-κB,Higher in G12C,198,0.4641247898227145,2.5039371159296864,8.466097601671947e-17,2.116524400417987e-15
HALLMARK_G2M_CHECKPOINT,G2/M Checkpoint,Lower in G12C,199,-0.4297826038444458,-1.834569234294378,8.018760417479948e-7,1.3364600695799915e-5
HALLMARK_SPERMATOGENESIS,Spermatogenesis,Lower in G12C,113,-0.46799279638501984,-1.8610099928292936,6.229366092207151e-6,7.395044903656196e-5
HALLMARK_TGF_BETA_SIGNALING,TGF-β Signaling,Higher in G12C,54,0.49721152289220927,2.1549355005100788,7.395044903656196e-6,7.395044903656196e-5
HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,Higher in G12C,199,0.30891073477689734,1.6692546034787321,1.677294630426796e-5,1.3977455253556633e-4
HALLMARK_KRAS_SIGNALING_UP,KRAS Signaling Up,Higher in G12C,196,0.2723903339593151,1.468325975286867,3.708429629371497e-4,0.0026488783066939267
HALLMARK_UV_RESPONSE_DN,UV Response Dn,Higher in G12C,144,0.29557230320239525,1.5323238406639217,6.291249406797142e-4,0.003932030879248214
HALLMARK_WNT_BETA_CATENIN_SIGNALING,Wnt Beta Catenin Signaling,Higher in G12C,41,0.45874309493006676,1.8642179485233201,7.31627826836759e-4,0.004064599037981995
HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,Lower in G12C,196,-0.35807740853569087,-1.5260544060353798,0.001361623516672032,0.0068081175833601595
HALLMARK_P53_PATHWAY,p53 Pathway,Higher in G12C,199,0.26253621951558537,1.4186615862436796,0.0022853005609149036,0.010387729822340472
HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,Lower in G12C,107,-0.3896303475963486,-1.5396497692854836,0.0030402066288141,0.01169310241851577
HALLMARK_HYPOXIA,Hypoxia,Higher in G12C,192,0.25696511482493095,1.3839205513019008,0.00294143243328022,0.01169310241851577
HALLMARK_IL2_STAT5_SIGNALING,IL-2/STAT5 Signaling,Higher in G12C,199,0.25047630872583954,1.353493693590596,0.00630370834037005,0.02251324407275018
HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,Lower in G12C,97,-0.3856815683803824,-1.49789952160376,0.007260997827760416,0.02420332609253472
HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,Lower in G12C,199,-0.3348038028727929,-1.4291428987141943,0.008445653232449262,0.026392666351403943
HALLMARK_MTORC1_SIGNALING,mTORC1 Signaling,Lower in G12C,200,-0.3348826091149234,-1.42936730850649,0.009893438934345765,0.02909834980689931
HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,Lower in G12C,187,-0.32107118135598134,-1.3593634311780318,0.011476978614780666,0.031880496152168515
HALLMARK_ANGIOGENESIS,Angiogenesis,Higher in G12C,33,0.40942424846053127,1.5791347041759058,0.012519984546139415,0.03294732775299846
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Higher in G12C,197,0.23598376239003238,1.2723384426798958,0.02284390146886387,0.05439024159253303
HALLMARK_KRAS_SIGNALING_DN,KRAS Signaling Dn,Lower in G12C,174,-0.3256772301705687,-1.3703490392823943,0.02248633133905176,0.05439024159253303
HALLMARK_PANCREAS_BETA_CELLS,Pancreas Beta Cells,Higher in G12C,33,0.3771828362287099,1.4547807286643193,0.02817719309682671,0.0640390752200607
HALLMARK_NOTCH_SIGNALING,Notch Signaling,Higher in G12C,32,0.3695546024229678,1.4145493074490552,0.054876422880683014,0.11929657147974568
HALLMARK_DNA_REPAIR,Dna Repair,Lower in G12C,149,-0.3100872608545372,-1.2790698132313771,0.0640176600441501,0.12958830149579958
HALLMARK_HEDGEHOG_SIGNALING,Hedgehog Signaling,Higher in G12C,36,0.3505708697073392,1.3805891142454128,0.06479415074789979,0.12958830149579958
HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,Higher in G12C,198,0.20905687687051838,1.127854587419012,0.07392640542937293,0.14216616428725562
HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,Higher in G12C,199,0.2028907243789301,1.0963564471699687,0.15895798791831867,0.28993855606758834
HALLMARK_MYC_TARGETS_V1,Myc Targets V1,Lower in G12C,200,-0.27457173930875217,-1.17194460782827,0.16236559139784945,0.28993855606758834
HALLMARK_ANDROGEN_RESPONSE,Androgen Response,Lower in G12C,100,-0.2931586449952406,-1.1439792206904067,0.2300469483568075,0.3966326695807026
HALLMARK_COMPLEMENT,Complement,Lower in G12C,197,-0.26256113876498693,-1.1192677283625223,0.24219590958019377,0.40365984930032295
HALLMARK_APOPTOSIS,Apoptosis,Higher in G12C,157,0.20152183425298006,1.0570719094975995,0.2736842105263158,0.4397455089820359
HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,Lower in G12C,73,-0.29830689223439477,-1.1085615719118853,0.281437125748503,0.4397455089820359
HALLMARK_MYOGENESIS,Myogenesis,Higher in G12C,188,0.19369707913829057,1.0496897737121726,0.3170731707317073,0.4804138950480414
